,地址,经度,纬度,等级
上海老城隍庙童涵春堂中医门诊部（限于中医科的中药饮片和中药煎药费）,黄浦区旧校场路33号2楼,121.48645334893196,31.229286084323775,一级
黄浦区半淞园街道社区卫生服务中心普益社区卫生服务站,普育西路49号底层,121.48966309485871,31.21403082810832,一级
黄浦区小东门街道社区卫生服务中心,光启南路225号,121.49049252828479,31.220366291000712,一级
上海蔡同德堂中医门诊部（限于中医科的中药饮片和中药煎药费）,黄浦区南京东路450号五楼、六楼,121.47725641253822,31.238498001699075,一级
上海劲松中医门诊部(限中医科的中药饮片和中药煎药费费用),上海市淮海中路849—853号2楼；833弄5号,121.45727538774277,31.219748500017385,一级
上海市黄浦区小东门街道社区卫生服务中心第二执业点,南仓街38号底层北侧,121.49633589136971,31.216257742290082,一级
上海市华隆堂中医门诊部,上海市浦东新区东方路2121号1-2层,121.46554457565753,31.205979029124318,一级
上海童涵春堂国药号中医门诊部（限于中医科的中药饮片和中药煎药费）,黄浦区人民路3号,121.48056056737289,31.229776547930793,一级
上海泰坤堂中医医院（限门诊）,斜徐路553号,121.46768809281956,31.209468044671066,一级
上海瑞视维景眼科医院（限门诊）,西藏南路758号2楼A室、3楼,121.48007395125056,31.217161065911746,二级
复旦大学附属妇产科医院杨浦新院,杨浦区沈阳路128号,121.53012203885534,31.26057224959205,三级
上海医博肛泰医院,黄浦区斜土路105号,121.47816409583713,31.20841274563125,二级
黄浦区顺昌医院第二执业点,丽园路490号,121.47758197503116,31.209833389231893,一级
上海榕馨堂中医门诊部,陆家浜路721号,121.48970014671538,31.214982483778375,一级
上海康海护理站,淡水路345弄9号3楼,121.47014959246282,31.215053038109268,一级
黄浦区淮海中路街道社区卫生服务中心黄陂卫生服务站,黄陂南路707弄27号,121.47303004329432,31.215903596177196,一级
黄浦区瑞金二路街道社区卫生服务中心长乐路第二执业点,长乐路39号,121.4656934739744,31.22430167564905,一级
上海万达全程护理站（仅提供居家护理服务）,黄浦区蒙自东路45号,121.47376502022514,31.209855552028152,一级
上海交通大学医学院附属第九人民医院黄浦分院,上海市普育东路58号,121.49082447361246,31.211465526544686,二级
上海曙名中医门诊部,黄浦区普安路185号三楼B1座，四楼B座,121.4744299698107,31.22490626539015,一级
上海泰申中医门诊部,上海市黄浦区巨鹿路417号101室,121.45304111058302,31.2239915279492,一级
黄浦区老西门街道社区卫生服务中心士林华苑服务站,河南南路555弄9-10号,121.48639062786116,31.223384657840928,一级
黄浦区老西门街道社区卫生服务中心开元坊服务站,上海市大吉路188号,121.48047141358164,31.216209672434232,一级
上海美中嘉和肿瘤门诊部,重庆南路149号诊疗办公室,121.46845058052975,31.220756708956188,三级
上海万达全程健康门诊部,外马路974号11楼,121.50255342606373,31.214262288967305,一级
复旦大学附属眼耳鼻喉科医院浦江院区执业点,上海市闵行区江月路2600号,121.48435040193843,31.081996596310994,三级
上海市第八人民医院南宁路执业点,上海市徐汇区南宁路969号1楼,121.43271958971178,31.161672147208737,二级
上海伽玛医院,吴中东路518号,121.41750876959483,31.19181829511624,三级
复旦大学附属中山医院,枫林路180号,121.44915072310927,31.201255766039527,三级
复旦大学附属中山医院分部,延安西路1474号,121.41779146088894,31.210360475625244,二级
上海市徐汇区徐家汇街道社区卫生服务中心永新坊社区卫生服务站,辛耕路81弄12号2楼,121.43925277482518,31.195008175000133,一级
上海市第六人民医院,宜山路600号,121.4177730566105,31.180270320347674,三级
上海中医药大学附属龙华医院,宛平南路725号,121.4449842871434,31.19006158279887,三级
上海中医药大学附属龙华医院浦东分院,浦东新区上钢二村45号,121.48964016300914,31.17688809917154,二级
上海市气功研究所医疗门诊部,南昌路218号,121.46085192423541,31.21989626009608,三级
上海市针灸经络研究所医疗门诊部,宛平南路650号,121.44486713268428,31.188585083182755,三级
上海市精神卫生中心,宛平南路600号,121.44346976319385,31.189196001295905,三级
上海市精神卫生分中心,沪闵路3210号、3211号,121.40011080316027,31.05913343313768,三级
中国福利会国际和平妇幼保健院,衡山路910号,121.43400785542444,31.19805575875332,三级
复旦大学附属眼耳鼻喉科医院,汾阳路83号、宝庆路19号,121.44564599138127,31.21205816419282,三级
复旦大学附属肿瘤医院,东安路270号,121.4489368813616,31.193026357186575,三级
上海市胸科医院,淮海西路241号,121.42129550643863,31.19961011984071,三级
徐汇区中心医院,淮海中路966号,121.45406235788808,31.218950261437886,二级
上海市第八人民医院,漕宝路8号,121.42866285290293,31.16933627420683,二级
徐汇区大华医院,老沪闵路901－903号,121.43012229529946,31.134775501787082,二级
上海远洋医院,淮海中路1174号,121.44909222306893,31.216895093072146,二级
徐汇区精神卫生中心,龙华西路249号,121.44253380018252,31.175174252667563,二级
徐汇区妇幼保健所,柳州路118号,121.42227615148998,31.16067886303165,二级
徐汇区牙病防治所,肇嘉浜路685号,121.44691002751046,31.20138694250088,二级
徐汇区牙病防治所康健分所,钦州南路780号,121.40641514076795,31.158211364945675,二级
徐汇区斜土街道社区卫生服务中心,零陵北路2号,121.46016369940519,31.19850085489245,一级
徐汇区枫林街道社区卫生服务中心,双峰路450号,121.44481557678381,31.182004282513727,一级
徐汇区枫林街道社区卫生服务中心西木医枫社区卫生服务站,医学院路110弄33号,121.4509805650438,31.200683059257305,一级
徐汇区长桥街道社区卫生服务中心,龙川北路9号,121.4357581872013,31.14116781685763,一级
徐汇区华泾镇社区卫生服务中心,建华路180号,121.43998357801807,31.12301798842551,一级
徐汇区华泾镇社区卫生服务中心大桥社区卫生服务站,龙吴路2388弄110号甲,121.4545708458405,31.125052419372686,一级
徐汇区天平街道社区卫生服务中心,太原路110号,121.45005843877922,31.20873810640767,一级
上海市徐汇区湖南街道社区卫生服务中心,乌鲁木齐中路247号,121.44167146278969,31.214158334503484,一级
徐汇区龙华街道社区卫生服务中心,龙华西路249号,121.44253380018252,31.175174252667563,一级
徐汇区龙华街道社区卫生服务中心新长峰社区卫生服务站,天钥桥南路1176-1182号,121.45080001256247,31.155086792140935,一级
徐汇区龙华街道社区卫生服务中心恒地苑社区卫生服务站,龙恒路272号,121.4438363803027,31.16886202625902,一级
徐汇区虹梅街道社区卫生服务中心,虹梅路1501号,121.39722044558751,31.164706323419896,一级
徐汇区虹梅街道社区卫生服务中心桂林社区卫生服务站,钦州北路1002号,121.40532256191584,31.18225662631338,一级
徐汇区徐家汇街道社区卫生服务中心,广元西路349号,121.4273033239749,31.196346841131113,一级
徐汇区徐家汇街道社区卫生服务中心零陵社区卫生服务站,斜土路2590弄21号1楼,121.43995082757205,31.188787532664378,一级
徐汇区漕溪北路地段医院,辛耕路81弄12号2楼,121.43925277482518,31.195008175000133,一级
徐汇区康健街道社区卫生服务中心,江安路88号,121.40997787010384,31.15016824895119,一级
徐汇区康健街道社区卫生服务中心康乐社区卫生服务站,桂林东街257号,121.41658663667131,31.159274072160663,一级
徐汇区田林街道社区卫生服务中心,柳州路500号,121.41789062314093,31.175213993539217,一级
徐汇区漕河泾街道社区卫生服务中心,宾阳路38号,121.43208207494558,31.16570908124286,一级
徐汇区漕河泾街道社区卫生服务中心冠生园社区卫生服务站,冠生园路230弄59号,121.4221395385612,31.165678121747238,一级
徐汇区凌云街道社区卫生服务中心,凌云路99号,121.41703727010459,31.134269700970655,一级
上海文艺医院,天平路40号,121.43281004590028,31.204519716691898,一级
上海博爱医院,淮海中路1590号,121.43993189815502,31.210618793427784,
复旦大学附属儿科医院医学院路执业点,医学院路130号,121.44620249619773,31.198833727118075,三级
徐汇区漕河泾街道社区卫生服务中心东泉社区卫生服务站,徐汇区东泉路64弄10号,121.4406570176599,31.15828341494955,一级
徐汇区漕河泾街道社区卫生服务中心东荡社区卫生服务站,石龙路898号,121.4256667654722,31.150798005622484,一级
复旦大学附属儿科医院,万源路399号,121.39031479461954,31.14104495061669,三级
上海雷允上五行中医门诊部（限于中医科的中药饮片和中药煎药费）,中山西路1520-7号,121.41603428874383,31.191436228112398,一级
徐家汇街道社区卫生服务中心徐汇新村社区卫生服务站,蒲汇塘路68号,121.42987824144744,31.188318351689134,一级
徐家汇街道社区卫生服务中心泰东新村社区卫生服务站,天钥桥路380弄15号,121.43459371339719,31.18959688842546,一级
上海熔仁堂中医门诊部(限中医科的中药饮片和中药煎药费费用),上海斜土路1985号西侧,121.44659470750804,31.19601892351952,一级
上海和怡护理站（仅提供居家护理服务）,中山西路1919号B幢503室,121.42138482603839,31.185721104478795,一级
上海乐聚护理站（仅提供居家护理服务）,徐汇区华发路210号101室,121.4467979881153,31.128994087007236,一级
上海英戈护理站（仅提供居家护理服务）,漕宝路320号二号楼C2106、C2107,121.40769206626933,31.166543570477845,一级
上海万众医院,徐汇区吴中路2、4、6号,121.40444409934243,31.218043813677294,一级
徐汇区徐家汇街道社区卫生服务中心南丹社区卫生服务站,徐汇区徐虹路112弄11号,121.42688605024455,31.191980457363364,一级
上海蓝十字脑科医院,吴中路6号,121.41556086357828,31.191016054128646,二级
上海仁爱医院,漕溪路135号,121.4321091268912,31.177225221196284,一级
徐汇区田林街道社区卫生服务中心吴东社区卫生服务站,吴中东路500弄4号-3临,121.41462167835371,31.21750543523774,一级
上海计生所医院,徐汇区斜土路2120、2130、2140号,121.44563644771814,31.194921494087698,二级
上海一康康复医院,徐汇区龙漕路200弄乙字1号,121.4377598281846,31.169361459521962,一级
上海嘉会国际医院,上海市徐汇区桂平路689号,121.39567742071156,31.177359921381644,三级
上海恒寿堂中医门诊部,凯旋路3580号2楼2001-2018、2070-2131、2136-2141室,121.42914844834468,31.183276852522088,一级
上海全景医学影像诊断中心,上海市徐汇区桂林路406号8号楼B1层、一层、二层、三层301-305室、五层,121.41051306715062,31.17509361694693,三级
上海沪申五官科医院,石龙路269号,121.43823074767771,31.15856787501359,二级
上海远大心胸医院（按照三级专科管理，参照二级结算）,龙漕路218号2、3号楼,121.43770551225295,31.171707161211746,三级
上海福亨中医门诊部,上海市徐汇区龙华西路323号8幢501、502、503室,121.43943073915673,31.176729662018847,一级
上海真安堂中医门诊部,徐汇区龙漕路23号,121.43175605377527,31.170709015307263,一级
上海歧黄安康中医门诊部,徐汇区龙吴路575-577号,121.44501513418841,31.15792005068621,一级
上海承志堂中医门诊部,徐汇区斜土路2421号6号康复楼3-5层,121.41556086357828,31.191016054128646,一级
复旦大学附属眼耳鼻喉科医院浦东分院,浦东新区耀华路389号,121.48046379691047,31.176167395602167,三级
上海汇丰中医门诊部（限于中医科的中药饮片和中药煎药费）,龙华西路107号,121.44590887306312,31.174522298177617,一级
上海福汇护理站（仅提供居家护理服务）,龙漕路51弄4号309室,121.43225794874546,31.17085769808774,一级
上海雷氏中医门诊部,上海市徐汇区斜土路1105号一层,121.46189655740915,31.202741150258717,一级
徐汇区漕河泾街道社区卫生服务中心华富社区卫生服务站,徐汇区龙华西路315弄38号甲,121.43780124590997,31.17709557879145,一级
上海源生中医门诊部,上海市延安西路1358号1A室,121.41984771311245,31.211305961313908,一级
上海市皮肤病医院门诊部,长宁区武夷路196号,121.42213724684916,31.21506454167509,三级
上海新视界眼科医院,汇川路18号,121.41288016445323,31.217556162328915,一级
上海金之福护理院,上海市长宁区广顺路18号1楼,121.34718830924486,31.22008829162269,一级
上海爱尔眼科医院,虹桥路1286号院内,121.4081765972482,31.19801892117307,二级
上海永浩护理院,中山西路1438号,121.41494711391934,31.19295760831007,一级
上海悦和堂中医门诊部,哈密路198号202-02室,121.37300448477798,31.218170502642387,一级
长宁区程家桥街道社区卫生服务中心机场新村社区卫生服务站,长宁区虹桥机场新村97号乙,121.34953064522188,31.18581208358164,一级
上海市长宁安馨第三敬老院医务室,上海市长宁区淞虹路681号,121.35650216832022,31.214803879059183,一级
上海市同仁医院,仙霞路1111号,121.3724497715979,31.21087654663289,二级
中国人民解放军第八五医院,华山路1328号,121.42785791692023,31.2111903476702,二级
中国人民解放军第八五医院分院,沪闵路9585号,121.43059717722085,31.168720324272165,二级
中国人民解放军第四五五医院,淮海西路338号,121.42351927352355,31.201622585390872,二级
上海一0八医院,哈密路1713号,121.36201438089765,31.198249063160425,二级
中国人民武装警察部队上海市总队医院,虹许路831号,121.38330488642626,31.194505686051972,二级
民航上海医院,虹桥路1448号,121.39718026466858,31.2012419231814,二级
上海电力医院,延安西路937号,121.42720344178103,31.21622307231319,二级
长宁区光华中西医结合医院,新华路540号,121.41797297898448,31.20666942239199,二级
长宁区同仁医院,愚园路786号,121.42963386477092,31.2224624265839,二级
长宁区天山中医医院,娄山关路868号,121.40117429732517,31.216591767849746,二级
长宁区天山中医医院（水城路执业点）,水城路689号,121.38672300861772,31.21462005978149,二级
长宁区精神卫生中心,协和路299号,121.34990335977963,31.215337007411126,二级
长宁区妇幼保健院,武夷路773号,121.40997222753256,31.214993602177028,二级
长宁区北新泾街道社区卫生服务中心,北渔路111号,121.3673378245806,31.21705521620834,一级
长宁区华阳街道社区卫生服务中心,华阳路292号,121.4187423316584,31.223938891299508,一级
长宁区华阳街道社区卫生服务中心愚园路门诊部,愚园路1086号,121.42417552842731,31.220758150797526,一级
长宁区江苏街道社区卫生服务中心,武夷路320弄4号,121.41954103439498,31.214944916436743,一级
长宁区新华街道社区卫生服务中心,华山路1467号,121.42901808238503,31.20805643957099,一级
长宁区周家桥街道社区卫生服务中心,长宁路1700号,121.40129204257943,31.219785269845474,一级
长宁区天山路街道社区卫生服务中心,娄山关路天山四村122号,121.39852110803218,31.21487234006288,一级
长宁区遵义社区卫生服务中心（虹桥路执业点）,虹桥路996弄34号底楼,121.37055768267727,31.18107123564116,一级
长宁区程家桥街道社区卫生服务中心,延安西路3499号,121.36731818664174,31.190218315156752,一级
长宁区程家桥街道社区卫生服务中心虹井路门诊部,虹桥路2376号,121.36262097991296,31.191889395399134,一级
长宁区仙霞街道社区卫生服务中心,芙蓉江路140号,121.39050969462428,31.210310647176936,一级
长宁区新泾镇社区卫生服务中心,上海市长宁区淞虹路507号,121.35584815335515,31.216795912291456,一级
上海神州医院,仙霞西路601号,121.35708753105577,31.210334152483124,一级
上海港华医院,淮海西路282、286号,121.42436347738145,31.201393684398596,一级
上海西郊骨科医院,剑河路595号,121.36420900806176,31.20955966851298,二级
上海文杰护理院,茅台路616-638号1-4层,121.38342423824582,31.212461862844652,一级
上海普瑞眼科医院,长宁区古北路436号,121.39576136840307,31.212312636969234,二级
长宁区仙霞街道社区卫生服务中心虹仙社区卫生服务站,长宁区仙霞街道仙霞路780弄36号甲室,121.3798774583235,31.207277747460168,一级
长宁区北新泾街道社区卫生服务中心新泾七村社区卫生服务站,金钟路333弄89号1楼,121.35832247711586,31.22097726561529,一级
长宁区新华街道社区卫生服务中心第二执业点,法华镇路457弄3号,121.42207893491359,31.206269710452027,一级
长宁区新华街道社区卫生服务中心左家宅社区卫生服务站,安顺路79号,121.41833270258022,31.20289858461772,一级
长宁区江苏街道社区卫生服务中心万村社区卫生服务站,长宁区江苏街道武定西路1371弄65号,121.42798391080365,31.22510990837816,一级
长宁区新泾镇社区卫生服务中心新泾新家苑社区卫生服务站,长宁区新泾镇仙霞西路885弄76号1楼,121.3449146842129,31.211349370588206,一级
长宁区新泾镇社区卫生服务中心北虹社区卫生站,长宁区新泾镇北虹路1000弄17号,121.3721896437751,31.215903403518023,一级
长宁区虹桥街道社区卫生服务中心虹梅社区卫生服务站,长宁区虹桥街道虹梅路3818弄14号101、102室,121.38087680982261,31.19361172043276,一级
长宁区新华街道社区卫生服务中心西法华社区卫生服务站,长宁区新华街道新华路668号,121.4152731811867,31.20720088147011,一级
长宁区华阳街道社区卫生服务中心潘西社区卫生服务站,长宁区华阳街道武夷路519弄69号,121.41480600362142,31.21571242909239,一级
长宁区天山路街道社区卫生服务中心联建社区卫生服务站,长宁区天山街道延安西路2029弄7号,121.40600967310469,31.207387445480844,一级
上海宁康护理站（仅提供居家护理服务）,上海市茅台路868号光华大厦南楼307室,121.37848020888646,31.213001063495337,一级
上海元朔中医门诊部,上海市万航渡路2453号16幢201-202室,121.40147791703116,31.22167040904378,一级
上海人寿堂中医门诊部（限于中医科的中药饮片和中药煎药费）,上海市江苏路565号,121.42809075649917,31.217353713512917,一级
上海闸新中西医结合医院,静安区场中路2516号,121.43873296910884,31.306829656892027,一级
上海市儿童医院第二执业点,北京西路1400弄24号,121.44384994980192,31.232099112814705,三级
静安区牙病防治所昌平分所,静安区康定路253号,121.44691397340358,31.23686814132917,二级
上海市第一妇婴保健院浦东分院（基本医疗服务的费用纳入医保联网结算）,浦东新区耀华路395号,121.4801818186196,31.176150585543475,三级
上海雷允上西区门诊部（限于中医科的中药饮片和中药煎药费）,静安区华山路2号3楼,121.43987951814022,31.22524275245383,一级
上海雷允上西区金雷中医门诊部(限中医科的中药饮片和中药煎药费费用),上海市静安区江宁路332-2号,121.44937339879615,31.234872290641352,一级
上海福苑护理站（仅提供居家护理服务）,新闸路848号二层北部202、203,121.4548148994048,31.23701359981963,一级
上海平安中医门诊部(限中医科的中药饮片和中药煎药费费用),上海市静安区平型关路88号,121.46270941242817,31.26824417810877,一级
上海太乙堂中医门诊部,上海市静安区安业路40号,121.45280777082449,31.313210930116753,一级
上海康芷护理站（仅提供居家护理服务）,静安区徐家宅路93号3楼,121.46207497116043,31.2508111621497,一级
复旦大学附属华山医院,乌鲁木齐中路12号,121.43834083935012,31.21800340194356,三级
复旦大学附属华山医院江苏路分部,江苏路796号,121.42902857178333,31.214141528115444,二级
华东医院,延安西路221号,121.43693772030647,31.220318863538655,三级
华东医院闵行门诊部,春申路2869号,121.40247789234984,31.109763238749913,
上海市第一妇婴保健院,长乐路536号,121.45166553967435,31.222186257566726,三级
上海市眼病防治中心,康定路380号,121.4444650284117,31.236514302655888,三级
静安区中心医院,西康路259号,121.4452733106015,31.232602729058538,二级
上海邮电医院,长乐路666号,121.44903377440669,31.220347329322106,二级
上海邮电医院（复兴中路执业点）,复兴中路1315号,121.45070070287667,31.213682144861913,二级
上海市公惠医院,石门一路315弄6号,121.45659945810921,31.23119051402703,二级
上海市第四康复医院,新闸路1739号,121.4401246238045,31.230220880284392,二级
静安区精神卫生中心,康定路834号,121.4366470031478,31.233290308768513,二级
静安区妇幼保健所,康定路1297号,121.42821770459844,31.231833093303184,二级
静安区牙病防治所,愚园路505、507号,121.44190381443265,31.22775035666626,二级
静安区牙病防治所延平分所,康定路909号,121.43536851751286,31.232415570891135,二级
静安区结核病防治所,康定路828号,121.43827432519319,31.233864863727906,二级
上海市化工职业病防治院,成都北路369号,121.46203346192243,31.23199459344647,二级
静安区曹家渡街道社区卫生服务中心,万航渡路858弄5号,121.4238442839071,31.22971656541736,一级
静安区曹家渡街道社区卫生服务中心万航渡路门诊部,新闸路1910弄1号楼,121.43719548987315,31.229088193679715,一级
静安区曹家渡街道社区卫生服务中心长寿路门诊部,万航渡路661弄23号,121.42830304176643,31.22954626913278,一级
静安区江宁路街道社区卫生服务中心,康定路733弄70号,121.43874739073095,31.23314703387159,一级
静安区江宁路街道社区卫生服务中心门诊部,江宁路702弄11号,121.44481957043556,31.240067390927884,一级
静安区石门二路街道社区卫生服务中心,山海关路456号,121.45683261735249,31.237112347422606,一级
静安区静安寺街道社区卫生服务中心,新闸路1729号,121.44014266037044,31.230255897163058,一级
静安区南京西路街道社区卫生服务中心,成都北路165号,121.46237380889252,31.228405128219954,一级
静安区南京西路街道社区卫生服务中心延安中路门诊部,富民路197弄24-25号,121.44678908356617,31.22041853699067,一级
上海市第一妇婴保健院浦东新院,浦东新区高科西路2699号,121.54650075522585,31.191566796991726,三级
复旦大学附属华山医院第四执业点,上海市红枫路525号,121.59223155166752,31.242450007863187,三级
静安区中心医院第三执业点,西康路266号,121.44595596852244,31.232668091123365,二级
上海静安区东风芷江养老院医务室,上海市静安区青云路755号,121.46083420483437,31.26253087118374,一级
复旦大学附属华山医院第五执业点,闵行区金光路958号,121.26961972471689,31.21043680182533,三级
上海市儿童医院,普陀区泸定路355号,121.38191094109328,31.228598191770534,三级
上海康静护理站（仅提供居家护理服务）,上海市延安西路394弄1号101室、103室,121.43392376642447,31.220312887535734,一级
上海康北护理站（仅提供居家护理服务）,上海共和新路2449号520室,121.44809096873516,31.282748620774214,一级
上海雷允上平顺中医门诊部（限于中医科的中药饮片和中药煎药费）,上海市平顺路155号,121.44614087243053,31.31989692762652,一级
上海六一儿童医院,上海市静安区宝山路455号,121.47304540484807,31.25903191993944,一级
上海中佑肛肠医院,静安区江宁路街道康定路359号,121.44494719379286,31.236409318396845,二级
静安区精神卫生中心第二执业点,胶州路422号,121.43776935274161,31.232859441228587,二级
上海市北高新门诊部,上海市江场西路299弄8-13号2-3层,121.43672349162875,31.298601379046943,一级
上海乐佑龄护理站（仅提供居家护理服务）,上海市静安区西康路370弄60号2幢207室,121.44498745741359,31.23448228456582,一级
上海御泰堂中医门诊部,上海市梅川路1343号二楼西侧,121.37294105259511,31.24692528197328,一级
上海摩尔星象口腔医院,上海市普陀区梅川路1293弄1、5号1层，3、4号1-2层，6、8号2层，2、7号3-4层,121.37553626309601,31.245845300162124,二级
上海岳养中医门诊部,上海市普陀区中山北路2020号101室西区、201室、301室、401室,121.37294105259511,31.24692528197328,一级
普陀区桃浦镇社区卫生服务中心槎浦社区卫生服务站,金迈路300号,121.42684994017243,31.250172954279616,一级
上海九洲医院,真南路685号,121.38217601762742,31.27123701686653,一级
普陀区桃浦镇社区卫生服务中心新杨社区卫生服务站,红柳路238弄30号101室,121.35183849058868,31.29768772034122,一级
普陀区桃浦镇社区卫生服务中心未来岛社区卫生服务站,桃浦路1945号,121.35859415113383,31.265391795349508,一级
普陀区宜川街道社区卫生服务中心中远两湾城社区卫生服务站,中潭路100弄224号、226号,121.43920961105803,31.253576631140785,一级
普陀区石泉街道社区卫生服务中心铜川路社区卫生服务站,铜川路358号,121.40945244008267,31.25456513137256,一级
普陀区长征镇社区卫生服务中心星梅社区卫生服务站,真北路1524弄66号乙,121.38408585179819,31.24611582847701,一级
普陀区桃浦镇第二社区卫生服务中心古浪路社区卫生服务站,古浪路355弄141号1楼西区,121.38300127009522,31.284275039040324,一级
普陀区甘泉街道社区卫生服务中心章家巷社区卫生服务站,延长西路526弄32号,121.42881598271823,31.262916984711094,一级
上海市同济医院,新村路389号,121.4266950976483,31.268600710612002,三级
同济大学附属同济医院分院,赤峰路50号,121.49699053822467,31.28368368111743,二级
上海市同济医院大华门诊部,新沪路950号,121.41379800123006,31.274230345070983,三级
